setTag,title,authors,datePublished,language,journalName
COVID-19,"Профилактика, диагностика и лечение новой коронавирусной инфекции 2019-nCoV:Временные методические рекомендации Министерства здравоохранения Российской Федерации",,2019-11-01,Russian,Pulmonology
COVID-19,COVID-19 por SARS-CoV-2: la nueva emergencia de salud.,"Aragón-Nogales, Ranferi. Vargas-Almanza, Iván. Miranda-Novales, María Guadalupe",2019-11-01,Spanish,Revista Mexicana de Pediatria
COVID-19,Coronaviruses: a paradigm of new emerging zoonotic diseases.,Salata C. Calistri A. Parolin C. Palù G,2019-12-01,English,Pathogens and disease
COVID-19,Novel coronavirus disease (COVID-19) outbreak: Now is the time to refresh pandemic plans.,Koonin LM,2020-01-01,English,Journal of business continuity & emergency planning
COVID-19,Discovering drugs to treat coronavirus disease 2019 (COVID-19).,Dong L. Hu S. Gao J,2020-01-01,English,Drug discoveries & therapeutics
COVID-19,'Dental Hierarchy of Needs' in the COVID-19 Era - or Why Treat When It Doesn't Hurt?,Berlin-Broner Y. Levin L,2020-01-01,English,Oral health & preventive dentistry
COVID-19,Experience of Diagnosing and Managing Patients in Oral Maxillofacial Surgery during the Prevention and Control Period of the New Coronavirus Pneumonia.,Yang Y. Soh HY. Cai ZG. Peng X. Zhang Y. Guo CB,2020-01-01,English,The Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA)
COVID-19,Editorial: COVID-19 and Older Adults.,Morley JE. Vellas B,2020-01-01,English,"The journal of nutrition, health & aging"
COVID-19,Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR.,Corman VM. Landt O. Kaiser M. Molenkamp R. Meijer A. Chu DKW. Bleicker T. Brünink S. Schneider J. Schmidt ML. Mulders DGJC. Haagmans BL. van der Veer B. van den Brink S. Wijsman L. Goderski G. Romette JL. Ellis J. Zambon M. Peiris M. Goossens H. Reusken C. Koopmans MPG. Drosten C,2020-01-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Note from the editors: novel coronavirus (2019-nCoV).,Eurosurveillance Editorial Team,2020-01-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,"Real-time tentative assessment of the epidemiological characteristics of novel coronavirus infections in Wuhan, China, as at 22 January 2020.",Wu P. Hao X. Lau EHY. Wong JY. Leung KSM. Wu JT. Cowling BJ. Leung GM,2020-01-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,"Novel coronavirus (2019-nCoV) early-stage importation risk to Europe, January 2020.",Pullano G. Pinotti F. Valdano E. Boëlle PY. Poletto C. Colizza V,2020-01-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,"Pattern of early human-to-human transmission of Wuhan 2019 novel coronavirus (2019-nCoV), December 2019 to January 2020.",Riou J. Althaus CL,2020-01-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,"Maps, masks and media - Traveller and practitioner resources for 2019 novel coronavirus (2019-nCoV) acute respiratory virus.",Chiodini J,2020-01-01,English,Travel medicine and infectious disease
COVID-19,The novel coronavirus (SARS-CoV-2) emergency and the role of timely and effective national health surveillance.,Lana RM. Coelho FC. Gomes MFDC. Cruz OG. Bastos LS. Villela DAM. Codeço CT,2020-01-01,English,Cadernos de saude publica
COVID-19,Epidemiologic characteristics of early cases with 2019 novel coronavirus (2019-nCoV) disease in Korea.,Ki M,2020-01-01,English,Epidemiology and health
COVID-19,An interim review of the epidemiological characteristics of 2019 novel coronavirus.,Ryu S. Chun BC,2020-01-01,English,Epidemiology and health
COVID-19,Rapid Progression to Acute Respiratory Distress Syndrome: Review of Current Understanding of Critical Illness from COVID-19 Infection.,Goh KJ. Choong MC. Cheong EH. Kalimuddin S. Duu Wen S. Phua GC. Chan KS. Haja Mohideen S,2020-01-01,English,"Annals of the Academy of Medicine, Singapore"
COVID-19,Mental Health Strategies to Combat the Psychological Impact of COVID-19 Beyond Paranoia and Panic.,Ho CS. Chee CY. Ho RC,2020-01-01,English,"Annals of the Academy of Medicine, Singapore"
COVID-19,COVID-19 - what should anaethesiologists and intensivists know about it?,Wujtewicz M. Dylczyk-Sommer A. Aszkiełowicz A. Zdanowski S. Piwowarczyk S. Owczuk R,2020-01-01,English,Anaesthesiology intensive therapy
COVID-19,Drug targets for corona virus: A systematic review.,Prajapat M. Sarma P. Shekhar N. Avti P. Sinha S. Kaur H. Kumar S. Bhattacharyya A. Kumar H. Bansal S. Medhi B,2020-01-01,English,Indian journal of pharmacology
COVID-19,Coronavirus Disease 2019 as a challenge for maritime medicine.,Sikorska K,2020-01-01,English,International maritime health
COVID-19,COVID-19: The outbreak caused by a new coronavirus.,Sifuentes-Rodríguez E. Palacios-Reyes D,2020-01-01,English,Boletin medico del Hospital Infantil de Mexico
COVID-19,Changing emergency department and hospital organization in response to a changing epidemic.,"Coen, Daniele. Paolillo, Ciro. Cavazza, Mario. Cervellin, Gianfranco. Bellone, Andrea. Perlini, Stefano. Casagranda, Ivo",2020-01-01,English,Emergency Care Journal
COVID-19,COVID-19 - НОВАЯ ГЛОБАЛЬНАЯ УГРОЗА ЧЕЛОВЕЧЕСТВУ.,"ПШЕНИЧНАЯ, Н. Ю.. ВЕСЕЛОВА, Е. И.. СЕМЕНОВА, Д. А.. ИВАНОВА, С. C.. ЖУРАВЛЕВ, А. С.",2020-01-01,Russian,Epidemiologiia i Infektsionnye Bolezni - Aktualnye Voprosy
COVID-19,Tackling corona virus disease 2019 (COVID 19) in workplaces.,"Ramesh, Naveen. Siddaiah, Archana. Joseph, Bobby",2020-01-01,English,Indian Journal of Occupational & Environmental Medicine
COVID-19,Therapeutic options for the treatment of 2019-novel coronavirus: An evidence-based approach.,"Sarma, Phulen. Prajapat, Manisha. Avti, Pramod. Kaur, Hardeep. Kumar, Subodh. Medhi, Bikash",2020-01-01,English,Indian Journal of Pharmacology
COVID-19,"Less is more, but are we doing enough?","Ñamendys-Silva, Silvio A.",2020-01-01,English,Intensive Care Medicine
COVID-19,Letter from the Editor.,,2020-01-01,English,International Maritime Health
COVID-19,Coronavirus (Covid-19) outbreak on the cruise ship Diamond Princess.,"Dahl, Eilif",2020-01-01,English,International Maritime Health
COVID-19,"COVID-19, guests and crews of cruise: observation on Thai citizens.","Yasri, Sora. Wiwanitkit, Viroj",2020-01-01,English,International Maritime Health
COVID-19,Thalidomide against Coronavirus Disease 2019 (COVID-19): A Medicine with a Thousand Faces.,"Dastan, Farzaneh. Tabarsi, Payam. Marjani, Majid. Moniri, Afshin. Hashemian, Seyed MohammadReza. Tavakoli-Ardakani, Maria. Saffaei, Ali",2020-01-01,English,Iranian Journal of Pharmaceutical Research
COVID-19,COVID-19: A New Virus as a Potential Rapidly Spreading in the Worldwide.,"Rezaeetalab, Fariba. Mozdourian, Mahnaz. Amini, Mahnaz. Javidarabshahi, Zahra. Akbari, Farzaneh",2020-01-01,English,Journal of Cardio-Thoracic Medicine
